dispositivoId,tipo,sistemaOperativo,ip,ultimoUso,confiable,marcaModelo,versionApp,usuariosAsociados,ubicacionesRegistradas
DV-0235,movil,macOS 14,36.122.62.184,2024-06-19,true,HP EliteBook,2.8.15,1,David|Cancún
DV-0236,tablet,Android 13,128.132.79.68,2024-05-29,true,Dell XPS,2.8.4,1,Valencia|David
DV-0237,movil,iOS 16,188.212.31.55,2023-02-13,true,HP EliteBook,2.1.13,1,Colón|Ciudad de Guatemala|San Miguel
DV-0238,tablet,Android 13,122.209.187.228,2023-03-31,true,HP EliteBook,2.8.12,2,Houston|San José
DV-0239,movil,Linux,61.248.84.200,2024-08-24,true,Dell XPS,2.6.3,2,Colón
DV-0240,tablet,Android 13,157.113.114.126,2023-04-19,true,Dell XPS,2.1.9,2,San Miguel|Ciudad de Guatemala
DV-0241,tablet,Linux,172.90.202.139,2024-04-29,true,Samsung Galaxy S23,2.2.8,2,San José
DV-0242,tablet,macOS 14,93.23.209.96,2023-02-09,true,HP EliteBook,2.5.7,1,Chicago|San José|Valencia
DV-0243,desktop,Windows 11,165.207.142.63,2023-10-15,false,HP EliteBook,2.1.7,2,Cali|Los Angeles
DV-0244,desktop,Windows 11,104.234.63.13,2024-03-02,true,Dell XPS,2.1.6,2,Tijuana
DV-0245,tablet,Windows 11,61.127.178.137,2023-02-27,true,Dell XPS,2.2.2,2,Chicago|Miami|Los Angeles
DV-0246,tablet,Linux,194.103.175.141,2023-01-30,true,iPhone 14,2.3.6,1,New York
DV-0247,desktop,iOS 16,7.184.46.240,2023-10-08,true,Xiaomi Redmi,2.7.12,1,Caracas|Cali|Valencia
DV-0248,desktop,iOS 16,179.204.26.86,2024-04-30,true,Dell XPS,2.8.11,2,San Miguel
DV-0249,tablet,Android 13,196.250.78.30,2023-10-19,true,Samsung Galaxy S23,2.6.1,1,Maracaibo|Miami|Tegucigalpa
DV-0250,tablet,iOS 16,152.57.104.130,2023-10-03,true,iPad Pro,2.6.0,1,Los Angeles|San José
DV-0251,movil,iOS 16,94.137.142.218,2023-09-16,true,Dell XPS,2.4.8,2,Valencia|San José
DV-0252,desktop,Windows 11,157.113.207.49,2024-11-24,true,Dell XPS,2.9.12,1,Chicago
DV-0253,desktop,Linux,23.240.53.79,2024-10-24,true,Dell XPS,2.9.9,2,Cartago|Chicago|Santa Ana
DV-0254,desktop,Windows 11,14.198.6.32,2023-10-11,true,Xiaomi Redmi,2.4.6,1,Cartago|Cali|San Salvador
DV-0255,tablet,macOS 14,96.208.18.19,2024-11-07,true,Xiaomi Redmi,2.2.0,2,San Miguel|Tijuana
DV-0256,tablet,Android 13,142.111.172.223,2024-08-20,true,iPad Pro,2.9.6,2,Lagos|Tegucigalpa|Bogotá
DV-0257,desktop,Windows 11,4.237.131.121,2024-06-03,true,Xiaomi Redmi,2.2.5,2,Chicago
DV-0258,desktop,Linux,28.98.239.75,2023-07-07,false,iPad Pro,2.5.2,2,Tegucigalpa|Cali
DV-0259,desktop,Windows 11,3.9.55.227,2024-01-16,true,Xiaomi Redmi,2.9.9,2,Chicago
DV-0260,tablet,Linux,158.73.109.124,2024-08-17,false,Dell XPS,2.1.15,2,Abuja|Bogotá|Ciudad de Guatemala
DV-0261,desktop,Android 13,210.80.246.107,2023-06-04,true,iPhone 14,2.3.10,2,San José|Colón|David
DV-0262,movil,Android 13,137.89.42.217,2024-05-14,true,Xiaomi Redmi,2.2.10,1,Los Angeles
DV-0263,movil,Linux,186.64.203.191,2023-06-12,true,HP EliteBook,2.1.4,2,Cali|Miami|Chicago
DV-0264,movil,Linux,109.31.192.179,2023-07-24,true,iPad Pro,2.5.0,2,Caracas|Caracas|Bogotá
DV-0265,tablet,iOS 16,47.161.30.107,2023-08-20,false,iPad Pro,2.5.9,2,Ciudad de Guatemala
DV-0266,desktop,iOS 16,221.129.133.247,2023-03-08,true,Samsung Galaxy S23,2.4.9,2,Houston|Ciudad de Guatemala|David
DV-0267,tablet,iOS 16,194.193.206.102,2023-12-17,true,HP EliteBook,2.5.6,1,Caracas|Tegucigalpa
DV-0268,movil,iOS 16,13.254.168.137,2023-01-23,true,Dell XPS,2.8.5,1,Lagos|San José
DV-0269,desktop,Windows 11,4.99.228.176,2024-07-01,true,Dell XPS,2.0.1,1,Caracas|San Salvador|Houston
DV-0270,desktop,macOS 14,163.168.215.183,2023-05-07,false,Dell XPS,2.4.15,2,Houston
DV-0271,movil,Windows 11,160.127.29.73,2024-03-06,true,iPad Pro,2.1.8,1,Cartago|Chicago
DV-0272,movil,Windows 11,157.210.66.65,2023-04-27,true,Samsung Galaxy S23,2.7.6,1,Houston|Caracas
DV-0273,desktop,Windows 11,71.38.138.151,2023-06-14,true,Samsung Galaxy S23,2.8.15,1,Chicago|David|Cali
DV-0274,tablet,Android 13,13.29.119.33,2023-04-24,false,Dell XPS,2.7.4,1,Santa Ana|San Pedro Sula|Cartago
DV-0275,tablet,iOS 16,146.17.21.192,2024-04-12,true,Xiaomi Redmi,2.4.14,1,Valencia
DV-0276,desktop,Windows 11,47.58.90.100,2024-11-24,true,Xiaomi Redmi,2.6.3,1,Ciudad de México
DV-0277,tablet,iOS 16,119.206.70.88,2023-12-03,true,Xiaomi Redmi,2.7.8,1,David|Valencia
DV-0278,desktop,macOS 14,199.71.87.149,2023-10-06,false,HP EliteBook,2.7.13,2,Los Angeles
DV-0279,movil,iOS 16,126.86.241.152,2023-04-17,true,HP EliteBook,2.9.15,2,San José
DV-0280,desktop,Linux,198.68.96.212,2023-01-30,true,iPad Pro,2.2.15,2,Tijuana
DV-0281,movil,Windows 11,19.170.148.188,2024-11-01,true,Xiaomi Redmi,2.0.7,2,Houston|Houston|San José
DV-0282,tablet,iOS 16,121.206.210.198,2024-05-08,false,Xiaomi Redmi,2.6.4,5,San Salvador|Ciudad de México|San José
DV-0283,tablet,macOS 14,223.219.54.224,2024-05-22,true,iPhone 14,2.1.15,2,David
DV-0284,movil,Linux,223.251.53.39,2023-08-17,true,Dell XPS,2.6.12,1,San José
DV-0285,tablet,macOS 14,161.204.152.176,2023-04-01,true,HP EliteBook,2.7.10,1,Cali|San José
DV-0286,desktop,macOS 14,83.162.161.87,2023-02-06,false,Dell XPS,2.8.0,1,San José|Santa Ana|David
DV-0287,tablet,iOS 16,94.6.53.133,2024-11-01,true,iPad Pro,2.7.10,2,Tegucigalpa
DV-0288,desktop,Linux,208.161.242.220,2024-09-26,true,Dell XPS,2.7.11,2,Cartago
DV-0289,movil,Android 13,22.30.106.155,2023-12-16,true,Xiaomi Redmi,2.4.11,1,David
DV-0290,tablet,macOS 14,163.71.129.242,2023-04-20,true,Xiaomi Redmi,2.9.6,1,Miami
DV-0291,movil,Windows 11,185.129.43.242,2023-04-21,true,HP EliteBook,2.0.3,2,Escuintla|Cancún
DV-0292,movil,macOS 14,143.60.169.87,2023-01-05,true,Dell XPS,2.0.13,2,Maracaibo|Valencia|Houston
DV-0293,tablet,iOS 16,135.118.65.25,2023-04-17,true,HP EliteBook,2.9.10,2,Ciudad de Guatemala|Houston
DV-0294,desktop,macOS 14,216.37.118.163,2023-12-18,true,Xiaomi Redmi,2.7.4,1,Ciudad de Guatemala|Houston
DV-0295,tablet,Windows 11,178.112.48.221,2024-12-19,true,Dell XPS,2.5.6,1,San José
DV-0296,tablet,Windows 11,144.250.18.62,2024-11-19,true,iPhone 14,2.2.10,1,Mixco|Chicago
DV-0297,tablet,macOS 14,105.236.1.66,2024-11-21,true,iPad Pro,2.8.9,2,Houston
DV-0298,desktop,iOS 16,165.174.47.208,2023-02-24,false,iPad Pro,2.0.6,3,San Miguel
DV-0299,movil,Android 13,201.133.16.210,2024-12-08,true,Xiaomi Redmi,2.3.1,2,Cartago|San José
DV-0300,tablet,Linux,108.243.200.107,2023-08-18,true,iPad Pro,2.8.12,1,Houston|San Miguel|Escuintla
DV-0301,desktop,macOS 14,50.47.102.189,2024-03-02,false,iPad Pro,2.5.1,1,San Miguel|Caracas|San José
DV-0302,desktop,iOS 16,49.0.95.148,2024-10-10,true,iPad Pro,2.5.6,1,Los Angeles|Valencia
DV-0303,movil,iOS 16,222.197.255.200,2023-06-27,true,iPad Pro,2.8.3,2,Cali
DV-0304,desktop,iOS 16,54.154.222.178,2023-06-14,true,Dell XPS,2.4.0,2,Lagos|Colón
DV-0305,desktop,Linux,135.181.131.200,2023-02-22,false,iPad Pro,2.9.9,4,Mixco|Valencia|Santa Ana
DV-0306,desktop,Linux,157.26.244.175,2023-08-14,true,iPhone 14,2.8.2,1,San Pedro Sula|Miami
DV-0307,movil,iOS 16,173.88.173.6,2024-11-10,false,Xiaomi Redmi,2.5.11,3,Cartago
DV-0308,desktop,Linux,85.190.105.242,2024-10-26,true,Samsung Galaxy S23,2.1.11,2,San José
DV-0309,tablet,iOS 16,107.164.178.118,2023-02-10,true,iPad Pro,2.5.12,1,San Miguel|San Pedro Sula
DV-0310,movil,Linux,169.12.120.160,2024-01-19,true,Dell XPS,2.8.14,2,San Miguel
DV-0311,movil,Windows 11,90.111.241.202,2024-06-10,true,Samsung Galaxy S23,2.1.5,1,Santa Ana|Miami|Escuintla
DV-0312,movil,macOS 14,87.208.73.242,2023-04-17,true,iPhone 14,2.8.13,1,Bogotá|Colón|Caracas
DV-0313,desktop,Android 13,36.164.46.31,2023-03-31,true,Samsung Galaxy S23,2.0.5,2,Santa Ana|Chicago|Tegucigalpa
DV-0314,desktop,macOS 14,66.151.194.236,2024-04-06,true,iPad Pro,2.6.13,2,Ciudad de Guatemala
DV-0315,tablet,Android 13,93.225.170.90,2024-10-18,true,iPad Pro,2.9.2,1,Santa Ana|Valencia|Chicago
DV-0316,tablet,Windows 11,78.223.244.220,2024-09-13,false,Samsung Galaxy S23,2.4.14,4,Escuintla|Caracas
DV-0317,tablet,iOS 16,137.57.144.202,2023-05-20,true,iPad Pro,2.6.9,1,Bogotá|San Pedro Sula
DV-0318,movil,Linux,141.233.142.237,2024-07-22,true,iPhone 14,2.1.1,1,Ciudad de Guatemala|Miami|San Pedro Sula
DV-0319,movil,Windows 11,42.163.133.157,2023-08-04,true,iPad Pro,2.5.6,2,Chicago|Colón|David
DV-0320,tablet,Windows 11,119.11.20.93,2023-07-18,true,Samsung Galaxy S23,2.2.1,2,Mixco|Santa Ana|San Miguel
DV-0321,desktop,Android 13,45.90.50.188,2023-07-22,true,iPad Pro,2.9.15,2,Los Angeles|Escuintla
DV-0322,movil,Windows 11,140.182.150.104,2024-09-26,true,Samsung Galaxy S23,2.3.10,2,David|San José
DV-0323,tablet,Linux,48.191.50.157,2023-06-06,true,Dell XPS,2.9.11,2,David|Ciudad de México
DV-0324,movil,macOS 14,210.4.90.22,2023-10-11,true,Xiaomi Redmi,2.2.10,2,Los Angeles|Valencia
DV-0325,desktop,Linux,189.63.3.218,2023-04-22,true,iPhone 14,2.9.2,2,San Pedro Sula
DV-0326,tablet,Android 13,74.7.8.255,2023-03-19,true,Samsung Galaxy S23,2.8.0,2,Miami|New York|Mixco
DV-0327,tablet,macOS 14,140.233.4.99,2024-10-31,true,iPhone 14,2.5.12,1,San Pedro Sula|San Miguel|Los Angeles
DV-0328,tablet,Android 13,202.227.128.175,2024-02-11,true,Xiaomi Redmi,2.8.0,1,Bogotá|David|Cartago
DV-0329,desktop,iOS 16,94.182.140.161,2023-07-03,true,Dell XPS,2.9.4,2,New York|Tegucigalpa
DV-0330,movil,Android 13,110.72.5.108,2023-09-28,true,Xiaomi Redmi,2.3.1,1,Valencia|Ciudad de Guatemala|Chicago
DV-0331,movil,Android 13,185.234.70.125,2024-10-26,true,Xiaomi Redmi,2.1.8,2,San Pedro Sula|Chicago|Valencia
DV-0332,desktop,Windows 11,113.252.158.48,2024-08-24,true,iPad Pro,2.1.8,2,Houston
DV-0333,desktop,macOS 14,6.159.223.192,2024-05-08,true,Dell XPS,2.0.4,2,Tegucigalpa
DV-0334,tablet,Windows 11,72.247.128.90,2023-08-05,false,iPhone 14,2.2.5,3,Lagos|Abuja|Escuintla
DV-0335,desktop,Android 13,217.16.86.92,2024-05-08,true,iPad Pro,2.7.15,1,David|San José|Tijuana
DV-0336,movil,iOS 16,164.63.42.48,2024-08-10,false,Dell XPS,2.2.4,5,Chicago
DV-0337,movil,Windows 11,58.98.184.69,2023-07-04,false,Dell XPS,2.6.0,3,Miami
DV-0338,desktop,macOS 14,110.254.187.177,2023-06-24,true,iPhone 14,2.6.4,1,Escuintla|Chicago|San Miguel
DV-0339,tablet,Windows 11,165.196.222.252,2024-04-09,true,Dell XPS,2.9.2,1,Ciudad de Guatemala|Los Angeles
DV-0340,movil,Linux,214.76.247.88,2024-05-31,false,iPad Pro,2.6.4,5,Valencia
DV-0341,tablet,Linux,217.90.36.236,2023-02-09,true,Dell XPS,2.8.3,1,Escuintla|Los Angeles
DV-0342,tablet,Android 13,21.29.115.133,2024-11-25,true,iPad Pro,2.6.13,2,Houston
DV-0343,movil,macOS 14,181.57.110.190,2024-01-26,true,Xiaomi Redmi,2.9.3,2,San Miguel
DV-0344,movil,Android 13,92.114.76.68,2023-10-18,true,Dell XPS,2.8.13,2,Ciudad de México
DV-0345,movil,Linux,164.254.7.42,2024-06-19,true,Samsung Galaxy S23,2.8.0,2,Miami|Houston|David
DV-0346,movil,iOS 16,3.16.113.33,2024-03-12,true,iPad Pro,2.9.8,2,Cali|Chicago|Valencia
DV-0347,tablet,macOS 14,107.199.113.105,2023-07-28,true,HP EliteBook,2.8.15,1,Mixco|Chicago
DV-0348,desktop,Linux,31.42.231.14,2023-12-19,true,iPad Pro,2.6.4,1,Tegucigalpa|Los Angeles|Houston
DV-0349,movil,iOS 16,30.18.76.42,2024-06-04,true,HP EliteBook,2.5.1,1,Santa Ana|Ciudad de México
DV-0350,movil,macOS 14,131.127.64.73,2024-09-06,true,HP EliteBook,2.1.2,2,Valencia
DV-0351,movil,macOS 14,171.87.187.215,2024-02-15,false,Dell XPS,2.8.9,5,Maracaibo
DV-0352,tablet,macOS 14,102.190.251.15,2024-03-25,true,Samsung Galaxy S23,2.3.9,1,Ciudad de Guatemala
DV-0353,tablet,iOS 16,167.174.238.172,2024-09-21,true,iPhone 14,2.0.11,1,Ciudad de México|David|Cancún
DV-0354,desktop,Windows 11,187.250.138.108,2024-11-16,true,HP EliteBook,2.6.6,1,Lagos|Santa Ana|Cancún
DV-0355,tablet,Linux,193.107.198.246,2024-08-19,true,Xiaomi Redmi,2.5.8,1,Caracas|San José|Miami
DV-0356,desktop,iOS 16,144.229.206.145,2024-02-21,true,Dell XPS,2.1.2,2,Abuja|Chicago
DV-0357,tablet,Linux,105.159.51.11,2023-09-14,true,iPad Pro,2.7.12,2,Cartago
DV-0358,desktop,macOS 14,7.169.122.39,2024-08-23,true,Samsung Galaxy S23,2.7.3,2,Ciudad de Guatemala
DV-0359,movil,iOS 16,218.124.174.136,2023-11-20,true,HP EliteBook,2.5.0,2,San Miguel
DV-0360,tablet,Windows 11,182.113.150.82,2023-03-19,false,Dell XPS,2.2.15,3,Miami|Chicago
DV-0361,tablet,iOS 16,61.85.201.54,2024-05-25,true,iPad Pro,2.3.7,1,Miami|Tegucigalpa
DV-0362,movil,Linux,38.225.30.52,2023-12-31,true,iPhone 14,2.1.3,1,Escuintla|Ciudad de México|San José
DV-0363,tablet,Android 13,195.102.39.12,2024-05-08,false,Xiaomi Redmi,2.9.10,4,San José|Ciudad de México|Valencia
DV-0364,tablet,Windows 11,20.86.88.63,2024-02-12,true,iPhone 14,2.9.4,1,Cali|Chicago|San Pedro Sula
DV-0365,desktop,macOS 14,148.48.237.81,2024-12-03,false,iPhone 14,2.7.3,5,David|Houston
DV-0366,tablet,iOS 16,1.43.163.87,2024-01-24,false,Dell XPS,2.1.10,3,San Miguel|Valencia|Mixco
DV-0367,desktop,macOS 14,129.64.14.43,2024-09-19,true,Xiaomi Redmi,2.5.5,2,Miami|Tijuana
DV-0368,desktop,Windows 11,180.233.43.204,2024-02-15,true,Xiaomi Redmi,2.7.5,1,Bogotá|Tegucigalpa|Cartago
DV-0369,movil,Linux,38.93.208.197,2024-03-18,true,HP EliteBook,2.3.4,1,Ciudad de México|Valencia
DV-0370,movil,Linux,128.72.95.110,2024-06-30,true,iPad Pro,2.5.15,2,Mixco|Chicago
DV-0371,movil,iOS 16,169.62.146.235,2023-03-03,false,iPhone 14,2.4.15,1,Cali|David
DV-0372,desktop,Linux,77.208.140.204,2024-07-24,true,Xiaomi Redmi,2.5.0,2,Valencia
DV-0373,tablet,iOS 16,202.33.113.182,2024-08-13,true,Dell XPS,2.8.5,2,David|Bogotá
DV-0374,tablet,macOS 14,35.235.214.87,2023-03-22,true,HP EliteBook,2.9.9,2,Colón|David|Santa Ana
DV-0375,desktop,macOS 14,22.246.7.247,2024-10-08,true,Dell XPS,2.9.12,1,David
DV-0376,desktop,Windows 11,11.153.253.62,2024-10-30,true,Xiaomi Redmi,2.4.12,2,Maracaibo|Valencia
DV-0377,tablet,macOS 14,49.72.10.202,2024-02-28,true,iPhone 14,2.2.0,1,Cali|Escuintla|San Miguel
DV-0378,tablet,Android 13,179.71.137.82,2023-08-04,true,iPhone 14,2.6.3,1,Chicago
DV-0379,movil,macOS 14,126.204.119.66,2024-06-20,true,Samsung Galaxy S23,2.1.8,1,San José
DV-0380,desktop,Windows 11,1.148.154.68,2023-08-23,true,iPhone 14,2.4.14,1,Houston
DV-0381,movil,Android 13,219.60.109.30,2024-11-10,true,Xiaomi Redmi,2.5.15,2,San José|Mixco|Los Angeles
DV-0382,tablet,Linux,184.38.91.36,2023-07-01,false,Dell XPS,2.9.14,5,Houston|Santa Ana
DV-0383,desktop,Windows 11,79.223.62.254,2024-05-08,true,Dell XPS,2.3.2,2,Valencia|Tijuana
DV-0384,desktop,Android 13,90.168.201.92,2023-01-01,true,Dell XPS,2.2.11,2,San Pedro Sula|Ciudad de México
DV-0385,desktop,macOS 14,110.101.248.225,2023-11-03,true,Samsung Galaxy S23,2.6.9,1,Mixco
DV-0386,desktop,Linux,159.167.221.171,2024-03-23,true,HP EliteBook,2.3.5,2,Tegucigalpa|San Miguel
DV-0387,tablet,iOS 16,67.84.147.102,2024-06-13,false,Dell XPS,2.4.9,5,Tijuana|Caracas
DV-0388,movil,iOS 16,2.17.11.237,2023-10-24,true,Samsung Galaxy S23,2.7.14,2,San José|Ciudad de México|Caracas
DV-0389,movil,Android 13,124.152.190.207,2024-07-01,true,Samsung Galaxy S23,2.2.3,2,Los Angeles|Lagos
DV-0390,movil,iOS 16,142.107.174.143,2023-04-03,true,iPhone 14,2.0.15,1,Tijuana|David
DV-0391,desktop,Windows 11,65.96.233.178,2024-04-19,true,iPad Pro,2.0.10,1,San Salvador
DV-0392,desktop,Android 13,169.13.141.14,2024-07-10,true,HP EliteBook,2.2.6,2,Ciudad de México|Abuja
DV-0393,tablet,iOS 16,31.125.251.217,2024-01-30,true,HP EliteBook,2.3.1,1,Cali|Maracaibo
DV-0394,tablet,iOS 16,46.116.187.5,2024-04-29,false,HP EliteBook,2.4.10,2,San Pedro Sula|New York|Cali
DV-0395,tablet,Android 13,150.11.182.151,2023-09-17,true,HP EliteBook,2.4.6,2,Escuintla
DV-0396,movil,iOS 16,102.172.140.37,2024-10-10,true,HP EliteBook,2.5.0,1,Cancún|Abuja
DV-0397,movil,Android 13,74.51.52.102,2023-02-13,true,Dell XPS,2.7.4,2,Cali
DV-0398,movil,Linux,40.23.71.36,2023-12-13,true,iPad Pro,2.0.1,2,Colón|Houston|San Pedro Sula
DV-0399,movil,macOS 14,4.205.198.64,2023-08-27,true,Xiaomi Redmi,2.8.11,2,Caracas|Caracas|Houston
DV-0400,tablet,iOS 16,212.121.220.124,2023-09-14,true,Samsung Galaxy S23,2.7.14,2,Houston|Ciudad de México|Caracas
