comercioId,nombre,categoria,pais,calificacion,esConocido,telefonoContacto,horario,registrado,totalTransacciones
CO-0206,Despacho Robles y Jaime,farmacia,El Salvador,4.6,true,445-549-9441,L-V 8-18|L-D 10-22,2013-09-11,18084
CO-0207,Acuña y Vargas A.C.,farmacia,Colombia,3.0,true,(184)320-8043x4071,L-D 10-22,2010-07-05,19213
CO-0208,Montañez y Villaseñor S.C.,aerolinea,Venezuela,4.7,true,221-363-4539x21922,24/7|L-V 9-17,2019-12-16,48346
CO-0209,Correa-Ortega,supermercado,Panamá,1.8,true,1-921-262-8879,L-S 9-21,2021-08-27,42249
CO-0210,Proyectos Pedraza y Lugo,hotel,El Salvador,3.3,true,818.137.4354x4596,L-V 9-17|L-D 10-22,2020-04-09,19928
CO-0211,Corporacin Mata-Cedillo,transferencia,Colombia,4.6,true,324.038.2710,L-S 9-21|24/7,2015-02-01,31735
CO-0212,Fajardo-Valladares,hotel,Panamá,4.1,true,495-420-9009x1183,L-S 9-21,2017-12-02,18637
CO-0213,Briseño y Regalado y Asociados,casino,Nigeria,4.7,true,255.652.4165x038,L-S 9-21|L-D 10-22,2013-06-11,10567
CO-0214,Club Ulloa y de León,gasolinera,México,1.2,true,(075)634-2143x748,L-D 10-22|L-S 9-21,2019-11-21,17066
CO-0215,"Roldán, Tórrez y Tórrez",hotel,Colombia,1.8,true,(399)330-4560,24/7,2017-09-17,9695
CO-0216,Arriaga y Véliz S.A. de C.V.,hotel,Costa Rica,3.2,true,243.094.9985x065,L-D 10-22,2016-10-06,7961
CO-0217,Hinojosa y Robledo y Asociados,supermercado,El Salvador,4.7,true,200.308.7318,L-V 9-17,2017-03-08,10227
CO-0218,Corporacin Zaragoza y Solano,supermercado,Venezuela,4.9,true,(328)721-7177,24/7|L-V 9-17,2016-07-02,49424
CO-0219,Zapata-Barraza S.A.,transferencia,Colombia,4.2,true,(929)105-6195x7351,24/7|L-V 8-18,2020-09-28,2626
CO-0220,Márquez y Briones S. R.L. de C.V.,restaurante,Venezuela,1.5,true,044.893.1174,L-V 9-17,2014-12-11,29227
CO-0221,Laboratorios Chacón y Valentín,hotel,México,2.3,true,+26(6)2518954410,L-D 10-22,2021-10-22,14558
CO-0222,Ornelas-Valles S.A. de C.V.,tienda_online,Estados Unidos,1.1,true,239.596.1225x924,L-V 8-18|L-V 9-17,2014-05-12,32143
CO-0223,Sierra-Vázquez S.C.,hotel,Nigeria,3.4,true,+95(1)1818638154,24/7,2018-12-01,9695
CO-0224,Laboratorios Sandoval-Almonte,aerolinea,Honduras,2.5,true,987.133.0713x54918,24/7,2017-09-26,23026
CO-0225,Laboratorios Jaime-Longoria,tienda_online,Costa Rica,4.5,true,656.730.1004x013,L-S 9-21,2019-12-19,48596
CO-0226,Amaya-Galindo,aerolinea,Costa Rica,2.2,true,(137)304-6100,L-V 9-17|L-S 9-21,2011-12-07,9413
CO-0227,Niño-Espinal A.C.,gasolinera,Panamá,2.9,true,485-263-1548x7855,L-V 8-18|L-V 9-17,2011-12-26,433
CO-0228,Haro-Manzanares y Asociados,aerolinea,Panamá,2.7,true,799.071.1629x7814,L-D 10-22|L-S 9-21,2014-06-21,12190
CO-0229,Maestas-Ortiz,aerolinea,Panamá,3.2,true,(916)651-8162x73659,24/7,2016-10-25,32381
CO-0230,"Despacho Escobar, Guardado y Ocampo",joyeria,Estados Unidos,1.1,true,944.080.7097,L-S 9-21,2015-11-22,19671
CO-0231,Acevedo y Verduzco S. R.L. de C.V.,casino,Panamá,2.7,false,+59(1)8715703295,L-S 9-21|L-V 8-18,2012-09-04,18167
CO-0232,Lucio-Pulido,casino,México,3.4,true,342-992-3625x293,L-D 10-22|L-V 9-17,2022-09-08,28578
CO-0233,Club Mendoza y Zavala,tienda_online,Costa Rica,4.9,true,535.847.1708,24/7,2021-06-30,48035
CO-0234,Orellana-Urías S.C.,transferencia,Guatemala,4.4,true,07021566109,L-D 10-22,2011-04-25,9577
CO-0235,"Club Pizarro, Ávalos y Delgado",hotel,Costa Rica,4.5,true,817-342-1831x05273,24/7,2013-08-30,3466
CO-0236,Despacho Sosa-Cabán,tienda_online,Honduras,2.7,true,1-369-027-4005,L-V 8-18|24/7,2016-07-17,34708
CO-0237,"Ferrer, Heredia y Fierro",farmacia,Venezuela,1.8,true,881.678.0013x405,L-V 8-18,2013-10-01,35632
CO-0238,Urbina A.C.,hotel,Honduras,4.3,true,411-042-1212,24/7|L-D 10-22,2012-02-25,35023
CO-0239,Tapia-Sarabia S. R.L. de C.V.,transferencia,Honduras,4.3,true,233-933-6818x86544,L-S 9-21,2021-08-15,18442
CO-0240,Palomo e Hijos,hotel,Costa Rica,2.6,true,1-642-780-4775,L-V 8-18,2014-11-20,10128
CO-0241,Naranjo A.C.,joyeria,Estados Unidos,4.2,false,(578)419-0941x225,L-V 9-17,2020-04-30,5006
CO-0242,Industrias Rodríguez y Peres,farmacia,Colombia,4.7,true,04799775240,24/7|L-D 10-22,2018-02-18,9110
CO-0243,Proyectos Garica y Acevedo,casino,Nigeria,3.1,true,1-411-475-1791,L-S 9-21|24/7,2010-08-24,48788
CO-0244,Corona-Valencia,farmacia,Estados Unidos,1.5,true,1-845-464-4183,L-S 9-21,2016-11-23,8214
CO-0245,Rivera y Gracia S. R.L. de C.V.,gasolinera,Colombia,4.9,true,1-040-241-0759x59625,L-V 8-18|L-D 10-22,2010-06-04,31736
CO-0246,Jiménez-Romo,aerolinea,Guatemala,1.8,true,1-585-787-1419,L-D 10-22,2011-05-01,30741
CO-0247,Jáquez-Robledo A.C.,farmacia,Panamá,1.2,true,06208878781,L-V 8-18|L-D 10-22,2012-10-11,39439
CO-0248,"Aguilera, Anguiano y Paredes",gasolinera,Nigeria,4.6,true,453-713-8885,24/7,2010-08-28,5949
CO-0249,Aguilera y Arteaga S.C.,restaurante,Panamá,4.8,true,214.271.1578x3572,24/7|L-S 9-21,2021-03-25,47746
CO-0250,Bahena S.A. de C.V.,transferencia,Estados Unidos,3.0,true,480.204.2459x691,L-V 8-18,2022-12-20,916
CO-0251,Soria y Zamora A.C.,joyeria,Estados Unidos,4.9,false,(428)907-9474x24474,L-D 10-22,2010-02-05,47536
CO-0252,Anaya y Mendoza S.C.,farmacia,Estados Unidos,4.7,true,1-776-452-2061x693,24/7|L-S 9-21,2019-11-11,44140
CO-0253,Berríos-Acevedo y Asociados,farmacia,Colombia,4.3,true,191-529-7967x1900,L-V 9-17|L-S 9-21,2021-07-14,14912
CO-0254,Grupo Velasco-Mercado,aerolinea,México,4.0,true,(149)309-8602x102,L-V 8-18|L-V 9-17,2012-06-22,34060
CO-0255,Barreto-Puente,restaurante,Costa Rica,4.0,true,350.895.9022x29396,L-D 10-22|L-V 8-18,2011-11-05,21503
CO-0256,Godoy-Navarrete,casino,Panamá,2.8,false,323-936-2182x75101,L-V 9-17|L-S 9-21,2022-06-04,26691
CO-0257,Despacho Macías-Marroquín,tienda_online,El Salvador,1.8,true,1-565-577-3640x4432,L-V 9-17,2018-03-30,11750
CO-0258,Díaz y León S. R.L. de C.V.,supermercado,Costa Rica,3.7,true,(210)064-4960x81923,L-V 9-17|L-V 8-18,2012-09-03,9395
CO-0259,"Grupo Cornejo, Casanova y Meraz",aerolinea,El Salvador,3.8,true,630.395.7757x74419,L-S 9-21,2011-06-15,23836
CO-0260,Despacho Bueno-Flores,gasolinera,Honduras,1.8,true,(332)153-0912x847,L-V 8-18|L-S 9-21,2019-07-12,47526
CO-0261,Despacho Ruiz-Viera,casino,Nigeria,3.4,false,230.797.4397x6989,24/7|L-V 9-17,2019-01-27,31754
CO-0262,Gollum S.A. de C.V.,joyeria,Costa Rica,1.4,false,(584)749-6648,L-V 9-17|L-D 10-22,2015-03-06,41180
CO-0263,Grupo Piña y Fierro,restaurante,Guatemala,1.4,true,563.718.1738x632,L-V 8-18,2021-03-04,44440
CO-0264,Henríquez-Lugo,supermercado,Colombia,2.5,true,04380028025,L-S 9-21|24/7,2012-02-29,49818
CO-0265,Proyectos Navarro y Gamboa,farmacia,Venezuela,4.1,true,952.047.1002,L-S 9-21|24/7,2021-03-02,32129
CO-0266,Soliz-Juárez S. R.L. de C.V.,joyeria,Honduras,4.2,false,(645)729-0393x25506,L-V 8-18,2019-08-27,7807
CO-0267,"Castillo, Rangel y Badillo",aerolinea,Costa Rica,2.3,true,(255)476-4137x4424,L-V 9-17|L-D 10-22,2010-10-22,2153
CO-0268,Guerra y Cano y Asociados,restaurante,Venezuela,3.6,true,598-587-6622,L-S 9-21|L-V 9-17,2019-08-30,8813
CO-0269,Laboratorios Matos y Aguayo,tienda_online,El Salvador,2.9,true,1-742-108-4806x527,L-D 10-22,2021-01-01,43258
CO-0270,Industrias Villanueva-Chacón,joyeria,Nigeria,2.9,true,137.066.9958,L-D 10-22,2011-04-02,25649
CO-0271,Montañez y Asociados,tienda_online,Costa Rica,3.4,true,534-700-8801,L-D 10-22|24/7,2016-05-19,21003
CO-0272,Industrias Mares y de León,supermercado,Guatemala,3.4,true,840-166-8465,24/7,2017-10-28,48631
CO-0273,Gollum-Bañuelos,transferencia,Guatemala,4.1,true,(488)040-7043x31991,L-V 9-17|L-V 8-18,2019-08-09,22619
CO-0274,Segovia-Escamilla S.A.,hotel,El Salvador,2.4,true,+64(5)4189172798,L-S 9-21,2015-04-07,42472
CO-0275,Industrias Vaca-Rendón,tienda_online,Nigeria,1.3,true,063.110.1518x54756,24/7,2012-07-26,22124
CO-0276,Brito y Loera A.C.,restaurante,Guatemala,3.2,true,470-228-3889,L-V 9-17,2019-06-23,37227
CO-0277,"Despacho Aguayo, Vallejo y Linares",joyeria,Panamá,1.1,true,1-905-482-5129x319,L-D 10-22|L-V 8-18,2017-02-05,24755
CO-0278,Industrias Mejía-Armendáriz,transferencia,El Salvador,2.3,true,06722054970,L-V 9-17,2012-03-30,45276
CO-0279,"Despacho Arreola, Lucero y Camacho",gasolinera,Honduras,3.0,true,02197042049,L-S 9-21|24/7,2018-02-24,28573
CO-0280,Despacho Escalante y Arenas,gasolinera,Costa Rica,3.5,true,818-122-7241x2307,L-D 10-22,2014-10-20,18832
CO-0281,"Club Tamez, Espinosa y Mayorga",tienda_online,Guatemala,2.2,true,741-739-5501,L-S 9-21|L-V 8-18,2022-12-20,6208
CO-0282,Gurule-Ávalos S.C.,transferencia,Honduras,2.1,true,265.783.0496x807,L-V 9-17|L-S 9-21,2017-10-16,5024
CO-0283,"Laboratorios Negrete, Luevano y Tapia",tienda_online,Venezuela,4.2,true,1-378-054-0247x96728,L-D 10-22|24/7,2014-06-28,27152
CO-0284,Arce-Granados,aerolinea,Panamá,3.5,true,04255603890,L-D 10-22|L-S 9-21,2010-06-02,41146
CO-0285,Toro-de Anda,joyeria,Nigeria,3.0,true,1-637-333-9430,24/7|L-V 9-17,2022-09-12,47619
CO-0286,"Ulibarri, Jimínez y Raya",supermercado,Venezuela,1.8,true,690.854.4198x9452,L-S 9-21|L-D 10-22,2013-05-17,48918
CO-0287,"Despacho Leal, Castañeda y Véliz",tienda_online,El Salvador,2.6,true,974-875-6834x2196,L-S 9-21,2019-04-02,17493
CO-0288,"Club Galindo, Mondragón y Ordóñez",tienda_online,Colombia,2.0,true,+73(5)8580396352,L-V 9-17,2015-05-08,7442
CO-0289,Corporacin Ferrer y Marín,restaurante,Estados Unidos,1.1,true,01129830151,L-V 9-17|L-D 10-22,2022-07-23,28582
CO-0290,Proyectos Cardenas-Ballesteros,aerolinea,Guatemala,1.8,true,441-593-2814x0352,L-S 9-21|L-V 8-18,2015-10-18,18204
CO-0291,"Rosario, Matos y Roldán",joyeria,Guatemala,4.9,false,248-128-1915x1694,L-V 8-18|L-D 10-22,2011-11-19,20572
CO-0292,"Juárez, Madera y Menéndez",transferencia,Panamá,4.5,true,(030)697-6388,24/7|L-V 8-18,2018-11-26,47463
CO-0293,Industrias Ibarra y Mena,restaurante,Estados Unidos,1.4,true,+50(4)6426559125,L-D 10-22,2021-10-12,16502
CO-0294,"Proyectos Mota, Lira y Manzanares",casino,Estados Unidos,3.4,true,523-431-3014,24/7|L-V 9-17,2015-04-17,27713
CO-0295,Rico y Asociados,gasolinera,Colombia,1.4,true,(149)432-3159,24/7,2019-11-10,26763
CO-0296,"Club Tórrez, Mojica y Jaramillo",tienda_online,Nigeria,1.2,true,369-269-8393,L-V 8-18|24/7,2022-03-29,27772
CO-0297,Club Alarcón-Aguilar,casino,Panamá,4.5,true,+48(5)3099059306,24/7,2020-08-29,46902
CO-0298,"Industrias Abrego, Sanches y Mota",hotel,Panamá,1.1,true,1-790-221-4446x25328,L-V 8-18,2015-05-18,16579
CO-0299,Laboratorios Farías-Carvajal,joyeria,Honduras,4.6,true,01301132101,L-D 10-22,2015-04-21,28993
CO-0300,Rojas S.A. de C.V.,aerolinea,Guatemala,4.6,true,+06(1)4469000122,24/7|L-D 10-22,2012-01-10,49588
