clienteId,dispositivoId,primerUso,frecuencia,esPropio
CL-0304,DV-0304,2022-12-28,96,true
CL-0311,DV-0304,2023-12-08,115,false
CL-0305,DV-0305,2023-10-16,162,true
CL-0312,DV-0305,2022-08-13,127,false
CL-0306,DV-0306,2023-07-09,88,true
CL-0313,DV-0306,2022-04-05,60,false
CL-0307,DV-0307,2023-09-01,51,true
CL-0314,DV-0307,2022-03-20,28,false
CL-0308,DV-0308,2023-02-03,85,true
CL-0315,DV-0308,2022-08-09,30,false
CL-0309,DV-0309,2022-05-29,108,true
CL-0316,DV-0309,2022-09-16,89,false
CL-0310,DV-0310,2023-01-26,178,true
CL-0317,DV-0310,2023-09-23,97,false
CL-0311,DV-0311,2023-04-01,91,true
CL-0318,DV-0311,2023-03-30,9,false
CL-0312,DV-0312,2022-12-29,123,true
CL-0319,DV-0312,2022-04-20,123,false
CL-0313,DV-0313,2022-04-06,93,true
CL-0320,DV-0313,2023-09-30,166,false
CL-0314,DV-0314,2022-03-30,167,true
CL-0321,DV-0314,2023-07-07,58,false
CL-0315,DV-0315,2022-08-24,58,true
CL-0322,DV-0315,2022-08-26,94,false
CL-0316,DV-0316,2023-02-09,43,true
CL-0323,DV-0316,2023-10-10,168,false
CL-0317,DV-0317,2023-01-16,87,true
CL-0324,DV-0317,2022-01-18,32,false
CL-0318,DV-0318,2022-07-30,86,true
CL-0325,DV-0318,2023-07-19,79,false
CL-0319,DV-0319,2022-04-26,195,true
CL-0326,DV-0319,2022-02-26,181,false
CL-0320,DV-0320,2022-09-06,187,true
CL-0327,DV-0320,2022-09-24,22,false
CL-0321,DV-0321,2022-03-21,60,true
CL-0328,DV-0321,2023-03-28,50,false
CL-0322,DV-0322,2023-11-09,36,true
CL-0329,DV-0322,2022-01-25,170,false
CL-0323,DV-0323,2023-10-13,168,true
CL-0330,DV-0323,2022-05-12,34,false
CL-0324,DV-0324,2022-02-02,22,true
CL-0331,DV-0324,2023-04-12,59,false
CL-0325,DV-0325,2023-07-08,45,true
CL-0332,DV-0325,2022-05-10,162,false
CL-0326,DV-0326,2023-03-17,199,true
CL-0333,DV-0326,2022-02-10,102,false
CL-0327,DV-0327,2023-07-06,101,true
CL-0334,DV-0327,2023-10-07,143,false
CL-0328,DV-0328,2023-12-14,191,true
CL-0335,DV-0328,2023-10-21,106,false
CL-0329,DV-0329,2023-03-08,59,true
CL-0336,DV-0329,2022-01-01,193,false
CL-0330,DV-0330,2023-05-08,5,true
CL-0337,DV-0330,2023-10-02,160,false
CL-0331,DV-0331,2023-02-28,73,true
CL-0338,DV-0331,2023-07-11,139,false
CL-0332,DV-0332,2023-02-22,59,true
CL-0339,DV-0332,2023-09-02,192,false
CL-0333,DV-0333,2023-09-18,131,true
CL-0340,DV-0333,2023-04-09,81,false
CL-0334,DV-0334,2023-03-16,144,true
CL-0341,DV-0334,2022-04-11,148,false
CL-0335,DV-0335,2022-06-23,160,true
CL-0342,DV-0335,2023-08-06,195,false
CL-0336,DV-0336,2022-12-06,147,true
CL-0343,DV-0336,2022-03-24,23,false
CL-0337,DV-0337,2022-01-19,33,true
CL-0344,DV-0337,2023-09-26,135,false
CL-0338,DV-0338,2022-11-09,149,true
CL-0345,DV-0338,2023-10-28,54,false
CL-0339,DV-0339,2023-06-23,49,true
CL-0346,DV-0339,2022-11-24,4,false
CL-0340,DV-0340,2023-08-06,63,true
CL-0347,DV-0340,2022-05-30,114,false
CL-0341,DV-0341,2023-01-13,49,true
CL-0348,DV-0341,2022-05-12,159,false
CL-0342,DV-0342,2023-02-02,156,true
CL-0349,DV-0342,2022-10-24,129,false
CL-0343,DV-0343,2023-02-10,49,true
CL-0350,DV-0343,2023-12-05,170,false
CL-0344,DV-0344,2022-05-09,15,true
CL-0351,DV-0344,2023-12-15,21,false
CL-0345,DV-0345,2022-09-06,186,true
CL-0352,DV-0345,2022-01-14,102,false
CL-0346,DV-0346,2022-11-27,200,true
CL-0353,DV-0346,2022-07-21,52,false
CL-0347,DV-0347,2022-06-25,61,true
CL-0354,DV-0347,2023-09-07,177,false
CL-0348,DV-0348,2023-02-06,156,true
CL-0355,DV-0348,2022-03-14,26,false
CL-0349,DV-0349,2023-11-09,143,true
CL-0356,DV-0349,2023-01-22,98,false
CL-0350,DV-0350,2022-11-13,175,true
CL-0357,DV-0350,2022-04-24,19,false
CL-0351,DV-0351,2022-12-14,24,true
CL-0358,DV-0351,2023-01-30,76,false
CL-0352,DV-0352,2023-12-20,199,true
CL-0359,DV-0352,2023-11-16,65,false
CL-0353,DV-0353,2023-02-27,86,true
CL-0360,DV-0353,2023-09-12,38,false
CL-0354,DV-0354,2022-07-16,160,true
CL-0361,DV-0354,2023-03-02,199,false
CL-0355,DV-0355,2023-01-19,153,true
CL-0362,DV-0355,2023-04-29,144,false
CL-0356,DV-0356,2022-06-04,111,true
CL-0363,DV-0356,2023-08-22,5,false
CL-0357,DV-0357,2022-02-23,135,true
CL-0364,DV-0357,2022-01-16,1,false
CL-0358,DV-0358,2022-10-16,117,true
CL-0365,DV-0358,2022-01-04,51,false
CL-0359,DV-0359,2022-07-11,42,true
CL-0366,DV-0359,2023-03-03,11,false
CL-0360,DV-0360,2022-01-14,136,true
CL-0367,DV-0360,2023-06-01,198,false
CL-0361,DV-0361,2023-06-29,79,true
CL-0368,DV-0361,2023-11-07,49,false
CL-0362,DV-0362,2023-07-31,21,true
CL-0369,DV-0362,2022-07-26,178,false
CL-0363,DV-0363,2022-10-01,159,true
CL-0370,DV-0363,2023-04-16,63,false
CL-0364,DV-0364,2022-05-01,6,true
CL-0371,DV-0364,2023-01-09,55,false
CL-0365,DV-0365,2023-07-30,133,true
CL-0372,DV-0365,2023-06-26,166,false
CL-0366,DV-0366,2023-11-07,154,true
CL-0373,DV-0366,2022-08-15,26,false
CL-0367,DV-0367,2022-06-14,160,true
CL-0374,DV-0367,2023-12-22,3,false
CL-0368,DV-0368,2022-11-15,189,true
CL-0375,DV-0368,2022-10-06,42,false
CL-0369,DV-0369,2023-05-30,38,true
CL-0376,DV-0369,2022-09-01,189,false
CL-0370,DV-0370,2023-03-08,32,true
CL-0377,DV-0370,2023-03-18,9,false
CL-0371,DV-0371,2022-03-29,6,true
CL-0378,DV-0371,2023-11-11,160,false
CL-0372,DV-0372,2023-05-19,38,true
CL-0379,DV-0372,2023-07-27,160,false
CL-0373,DV-0373,2023-10-09,53,true
CL-0380,DV-0373,2023-12-31,137,false
CL-0374,DV-0374,2022-06-25,18,true
CL-0381,DV-0374,2022-05-10,192,false
CL-0375,DV-0375,2023-10-18,25,true
CL-0382,DV-0375,2022-02-10,25,false
CL-0376,DV-0376,2023-01-06,194,true
CL-0383,DV-0376,2022-04-12,2,false
CL-0377,DV-0377,2023-03-01,13,true
CL-0384,DV-0377,2023-09-06,126,false
CL-0378,DV-0378,2023-06-12,78,true
CL-0385,DV-0378,2023-07-31,124,false
CL-0379,DV-0379,2023-11-24,7,true
CL-0386,DV-0379,2022-10-16,173,false
CL-0380,DV-0380,2023-10-18,40,true
CL-0387,DV-0380,2023-12-18,9,false
CL-0381,DV-0381,2023-08-19,113,true
CL-0388,DV-0381,2023-11-21,118,false
CL-0382,DV-0382,2023-11-21,104,true
CL-0389,DV-0382,2023-03-13,172,false
CL-0383,DV-0383,2022-09-04,27,true
CL-0390,DV-0383,2022-02-03,13,false
CL-0384,DV-0384,2023-09-10,80,true
CL-0391,DV-0384,2022-12-09,52,false
CL-0385,DV-0385,2022-03-20,153,true
CL-0392,DV-0385,2023-12-27,162,false
CL-0386,DV-0386,2022-10-13,36,true
CL-0393,DV-0386,2022-05-18,55,false
CL-0387,DV-0387,2023-01-28,84,true
CL-0394,DV-0387,2022-09-02,43,false
CL-0388,DV-0388,2023-04-30,21,true
CL-0395,DV-0388,2022-09-22,124,false
CL-0389,DV-0389,2023-12-12,46,true
CL-0396,DV-0389,2023-10-22,174,false
CL-0390,DV-0390,2022-12-21,4,true
CL-0397,DV-0390,2023-05-09,97,false
CL-0391,DV-0391,2022-06-06,51,true
CL-0398,DV-0391,2022-08-22,33,false
CL-0392,DV-0392,2023-04-15,96,true
CL-0399,DV-0392,2022-02-10,149,false
CL-0393,DV-0393,2023-11-10,70,true
CL-0400,DV-0393,2022-11-13,67,false
CL-0394,DV-0394,2023-06-11,57,true
CL-0401,DV-0394,2022-03-27,127,false
CL-0395,DV-0395,2023-11-13,74,true
CL-0402,DV-0395,2023-08-19,55,false
CL-0396,DV-0396,2023-03-02,3,true
CL-0403,DV-0396,2022-03-17,102,false
CL-0397,DV-0397,2022-03-25,112,true
CL-0404,DV-0397,2023-06-09,122,false
CL-0398,DV-0398,2023-12-30,99,true
CL-0405,DV-0398,2022-08-17,189,false
CL-0399,DV-0399,2022-02-01,125,true
CL-0406,DV-0399,2022-07-24,120,false
CL-0400,DV-0400,2022-06-16,39,true
CL-0407,DV-0400,2023-11-05,81,false
